City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
561,Nouakchott,18.0858,-15.9785,64.33,79,56,14.25,MR,2022-04-11 22:50:24
562,Gazanjyk,39.2446,55.5154,65.86,52,6,9.4,TM,2022-04-11 22:52:18
563,Puerto Maldonado,-12.6,-69.1833,88.2,66,20,4.61,PE,2022-04-11 22:52:18
564,Srednekolymsk,67.45,153.6833,9.12,78,40,4.79,RU,2022-04-11 22:52:19
565,La Rioja,42.25,-2.5,49.78,82,100,5.19,ES,2022-04-11 22:52:19
566,Rio Branco Do Sul,-25.19,-49.3142,68.02,95,98,2.55,BR,2022-04-11 22:52:19
567,Humaita,-7.5061,-63.0208,76.64,86,97,0.81,BR,2022-04-11 22:51:16
568,San Joaquin,37.9333,-121.3011,63.14,25,0,23.02,US,2022-04-11 22:51:29
569,Kavieng,-2.5744,150.7967,84.29,68,26,8.14,PG,2022-04-11 22:52:20
570,Almaznyy,48.0448,40.045,54.1,62,67,15.01,RU,2022-04-11 22:52:20
571,Sinjai,-5.1241,120.253,74.39,82,67,4.27,ID,2022-04-11 22:52:20
572,Honiara,-9.4333,159.95,84.83,69,81,4.72,SB,2022-04-11 22:49:25
573,Mattru,7.6244,-11.8332,78.71,84,62,2.82,SL,2022-04-11 22:52:21
574,Bonthe,7.5264,-12.505,78.84,87,52,1.61,SL,2022-04-11 22:52:21
575,Cantaura,9.3057,-64.3584,87.13,47,37,12.8,VE,2022-04-11 22:52:21
576,Madang,-5.2246,145.7966,83.46,71,33,1.83,PG,2022-04-11 22:52:22
577,Sorong,-0.8833,131.25,78.8,88,100,8.21,ID,2022-04-11 22:52:22
578,Chuy,-33.6971,-53.4616,68.11,91,48,6.26,UY,2022-04-11 22:47:28
579,Adamas,36.7333,24.4333,55.9,56,0,10.54,GR,2022-04-11 22:52:23
580,Blagoyevo,63.3667,47.9167,33.44,100,100,1.57,RU,2022-04-11 22:52:23
581,Lapua,62.9693,23.0088,34.11,96,60,2.62,FI,2022-04-11 22:52:23
582,Vadakku Valliyur,8.3833,77.65,79.68,78,98,2.3,IN,2022-04-11 22:52:23
583,Bucerias,20.75,-105.3333,83.68,51,2,6.49,MX,2022-04-11 22:52:24
584,Karratha,-20.7377,116.8463,76.91,29,0,8.86,AU,2022-04-11 22:52:24
585,Te Anau,-45.4167,167.7167,50.52,86,93,1.19,NZ,2022-04-11 22:52:24
