City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Huilong,CN,31.8111,121.655,56.93,97,100,17.63,moderate rain
79,Verkhnevilyuysk,RU,63.4453,120.3167,28.47,95,100,7.38,light snow
80,Yaan,NG,7.3833,8.5667,80.94,69,97,8.61,overcast clouds
81,Ponta Do Sol,PT,32.6667,-17.1,65.01,83,59,3.42,broken clouds
82,Henties Bay,NA,-22.116,14.2845,60.06,87,10,4.34,clear sky
83,Albany,US,42.6001,-73.9662,73.17,76,79,4.25,broken clouds
84,Barrow,US,71.2906,-156.7887,-2.18,78,0,6.91,clear sky
85,Guerrero Negro,MX,27.9769,-114.0611,68.38,42,38,17.25,scattered clouds
86,Pisco,PE,-13.7,-76.2167,69.85,68,0,16.11,clear sky
87,Kaitangata,NZ,-46.2817,169.8464,56.1,60,26,6.73,scattered clouds
88,Phetchaburi,TH,12.9667,99.5833,72.84,87,54,4.09,broken clouds
89,Guanare,VE,9.0418,-69.7421,89.44,34,53,5.19,broken clouds
90,Ugoofaaru,MV,5.6667,73.0,83.97,73,96,8.61,overcast clouds
91,Atar,MR,20.5169,-13.0499,76.93,18,0,9.1,clear sky
92,Dwarka,IN,22.2394,68.9678,78.58,80,0,10.67,clear sky
93,Ribeira Grande,PT,38.5167,-28.7,59.22,58,1,20.27,clear sky
94,Angelopolis,US,34.0522,-118.2437,78.21,28,0,14.97,clear sky
95,Tuktoyaktuk,CA,69.4541,-133.0374,1.4,78,75,16.11,broken clouds
96,Teopisca,MX,16.5167,-92.4833,77.47,39,69,3.58,broken clouds
97,Barmer,IN,25.75,71.3833,77.27,37,21,6.89,few clouds
98,Marly,FR,50.3456,3.5496,55.02,91,100,2.93,overcast clouds
99,Avarua,CK,-21.2078,-159.775,84.25,74,42,4.61,scattered clouds
100,Half Moon Bay,US,37.4636,-122.4286,63.88,56,0,17.27,clear sky
101,Butaritari,KI,3.0707,172.7902,81.72,77,97,16.49,overcast clouds
102,Kiunga,PG,-6.1219,141.2906,75.9,96,100,0.4,overcast clouds
103,Lompoc,US,34.6391,-120.4579,69.78,53,0,25.01,clear sky
104,Fairbanks,US,64.8378,-147.7164,43.25,35,75,1.01,broken clouds
105,Ocher,RU,57.8904,54.7202,35.42,99,71,3.4,broken clouds
106,Punta Arenas,CL,-53.15,-70.9167,55.51,67,20,39.12,few clouds
107,Hasaki,JP,35.7333,140.8333,54.28,88,100,24.79,overcast clouds
108,Baruun-Urt,MN,46.6806,113.2792,30.16,35,100,7.43,overcast clouds
109,Santa Cruz,BO,-17.8,-63.1667,71.65,94,75,9.22,broken clouds
110,Mogadishu,SO,2.0371,45.3438,81.86,78,83,8.55,broken clouds
111,Srednekolymsk,RU,67.45,153.6833,-0.89,90,97,6.73,overcast clouds
112,Berlevag,NO,70.8578,29.0864,26.6,82,100,7.36,overcast clouds
113,Bam,IR,29.106,58.357,77.09,15,77,8.1,broken clouds
114,Longyearbyen,SJ,78.2186,15.6401,17.44,67,75,5.75,broken clouds
115,Mar Del Plata,AR,-38.0023,-57.5575,59.88,75,0,5.01,clear sky
116,Miles City,US,46.4083,-105.8406,20.37,79,100,32.21,overcast clouds
