City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,Akyab,20.15,92.9,80.51,80,9,8.01,MM,2022-04-06 17:28:43
109,Chillan,-36.6066,-72.1034,73.72,46,0,10.36,CL,2022-04-06 17:25:14
110,Clyde River,70.4692,-68.5914,8.83,78,20,6.91,CA,2022-04-06 17:28:43
111,Nador,35.174,-2.9287,64.47,63,20,9.22,MA,2022-04-06 17:28:43
112,Chik,54.9928,82.4311,37.15,74,0,11.18,RU,2022-04-06 17:28:44
113,Eyl,7.9803,49.8164,79.9,71,8,11.83,SO,2022-04-06 17:28:44
114,Avarua,-21.2078,-159.775,77.05,88,97,6.91,CK,2022-04-06 17:28:45
115,Petropavlovsk-Kamchatskiy,53.0452,158.6483,30.79,100,100,4.47,RU,2022-04-06 17:28:45
116,Georgetown,5.4112,100.3354,80.53,88,20,2.3,MY,2022-04-06 17:28:45
117,Asyut,27.181,31.1837,93.27,7,4,10.36,EG,2022-04-06 17:28:46
118,Turayf,31.6725,38.6637,77.25,22,1,19.57,SA,2022-04-06 17:28:46
119,Ribeira Grande,38.5167,-28.7,64.8,82,75,13.8,PT,2022-04-06 17:28:46
120,Mizdah,31.4451,12.9801,94.62,9,32,17.05,LY,2022-04-06 17:28:47
121,Ewa Beach,21.3156,-158.0072,73.44,76,0,5.75,US,2022-04-06 17:28:06
122,Kualakapuas,-3.0091,114.3876,74.12,96,92,2.59,ID,2022-04-06 17:28:38
123,Hailar,49.2,119.7,19.27,37,6,5.44,CN,2022-04-06 17:28:47
124,Guantanamo,20.1444,-75.2092,85.57,30,19,9.31,CU,2022-04-06 17:28:48
125,Marigot,18.0667,-63.0833,83.98,54,20,17.27,MF,2022-04-06 17:28:48
126,Hilo,19.7297,-155.09,70.61,90,75,1.01,US,2022-04-06 17:24:01
127,Chapais,49.7834,-74.8492,33.58,56,2,5.28,CA,2022-04-06 17:28:48
128,Severo-Kurilsk,50.6789,156.125,32.13,83,92,11.27,RU,2022-04-06 17:28:49
129,Vanimo,-2.6741,141.3028,77.63,89,100,7.52,PG,2022-04-06 17:28:49
130,Castro,-24.7911,-50.0119,71.37,81,97,2.86,BR,2022-04-06 17:28:50
131,Chuy,-33.6971,-53.4616,76.39,41,0,6.22,UY,2022-04-06 17:29:50
132,Olkhovatka,50.2831,39.2872,48.85,61,84,13.91,RU,2022-04-06 17:29:51
133,Oum Hadjer,13.2954,19.6966,100.65,9,4,6.44,TD,2022-04-06 17:29:51
134,Dingle,10.9995,122.6711,75.11,92,100,6.06,PH,2022-04-06 17:29:51
135,Snasa,64.2457,12.3778,33.21,97,100,2.57,NO,2022-04-06 17:29:52
136,Bambous Virieux,-20.3428,57.7575,79.05,78,40,9.22,MU,2022-04-06 17:29:52
137,Cairns,-16.9167,145.7667,74.07,93,14,5.75,AU,2022-04-06 17:26:20
138,Amalner,21.05,75.0667,95.61,13,34,10.04,IN,2022-04-06 17:29:53
139,Pavino,59.1139,46.1414,29.21,96,100,4.88,RU,2022-04-06 17:29:53
140,Basoko,1.2391,23.616,75.79,77,94,3.31,CD,2022-04-06 17:29:54
